Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Top Gun: Maverick,"$1,183,612,643","$597,412,643",50.5%,"$586,200,000",49.5%
2,Doctor Strange in the Multiverse of Madness,"$953,481,056","$411,045,982",43.1%,"$542,435,074",56.9%
3,Jurassic World Dominion,"$876,528,005","$350,515,005",40%,"$526,013,000",60%
4,The Batman,"$770,836,163","$369,345,583",47.9%,"$401,490,580",52.1%
5,Water Gate Bridge,"$626,571,280","$117,294",<0.1%,"$626,453,986",100%
6,Minions: The Rise of Gru,"$405,804,985","$210,656,985",51.9%,"$195,148,000",48.1%
7,Fantastic Beasts: The Secrets of Dumbledore,"$405,161,334","$95,850,844",23.7%,"$309,310,490",76.3%
8,Sonic the Hedgehog 2,"$401,872,904","$190,872,904",47.5%,"$211,000,000",52.5%
9,Uncharted,"$401,747,690","$148,647,690",37%,"$253,100,000",63%
10,Thor: Love and Thunder,"$303,165,107","$144,165,107",47.6%,"$159,000,000",52.4%
11,The Bad Guys,"$245,373,300","$96,373,300",39.3%,"$149,000,000",60.7%
12,Too Cool to Kill,"$217,254,604","$185,882",<0.1%,"$217,068,722",99.9%
13,Nice View,"$211,019,042",-,-,"$211,019,042",100%
14,Lightyear,"$204,703,294","$112,503,294",55%,"$92,200,000",45%
15,The Lost City,"$190,844,029","$105,344,029",55.2%,"$85,500,000",44.8%
16,Morbius,"$163,865,530","$73,865,530",45.1%,"$90,000,000",54.9%
17,Elvis,"$155,503,773","$91,303,773",58.7%,"$64,200,000",41.3%
18,Scream,"$140,041,405","$81,641,405",58.3%,"$58,400,000",41.7%
19,Death on the Nile,"$137,307,235","$45,630,104",33.2%,"$91,677,131",66.8%
20,RRR,"$99,746,831","$11,113,000",11.1%,"$88,633,831",88.9%
21,The Roundup,"$99,464,787","$812,859",0.8%,"$98,651,928",99.2%
22,The Black Phone,"$99,031,025","$62,434,025",63%,"$36,597,000",37%
23,Everything Everywhere All at Once,"$93,029,796","$67,630,558",72.7%,"$25,399,238",27.3%
24,Downton Abbey: A New Era,"$89,755,294","$43,896,550",48.9%,"$45,858,744",51.1%
25,K.G.F: Chapter 2,"$89,123,940","$2,874,000",3.2%,"$86,249,940",96.8%
26,Dog,"$84,524,862","$61,778,069",73.1%,"$22,746,793",26.9%
27,Jackass Forever,"$80,340,218","$57,743,451",71.9%,"$22,596,767",28.1%
28,The Northman,"$68,533,835","$34,233,110",50%,"$34,300,725",50%
29,Detective Conan: The Bride of Halloween,"$67,577,170",-,-,"$67,577,170",100%
30,Ambulance,"$51,309,115","$22,309,115",43.5%,"$29,000,000",56.5%
31,Marry Me,"$50,493,393","$22,438,180",44.4%,"$28,055,213",55.6%
32,Moonfall,"$44,345,119","$19,060,660",43%,"$25,284,459",57%
33,The Bob's Burgers Movie,"$33,983,753","$31,768,833",93.5%,"$2,214,920",6.5%
34,BTS Permission to Dance on Stage - Seoul: Live Viewing,"$32,600,000","$6,840,000",21%,"$25,760,000",79%
35,Shin Ultraman,"$30,810,782",-,-,"$30,810,782",100%
36,Vikram,"$29,830,018","$1,770,000",5.9%,"$28,060,018",94.1%
37,The Unbearable Weight of Massive Talent,"$28,862,119","$20,300,157",70.3%,"$8,561,962",29.7%
38,The 355,"$27,834,721","$14,570,455",52.3%,"$13,264,266",47.7%
39,The Kashmir Files,"$24,821,898","$1,485,000",6%,"$23,336,898",94%
40,The Confidence Man JP: Episode of the Hero,"$23,100,870",-,-,"$23,100,870",100%
41,The Last 10 Years,"$22,456,368",-,-,"$22,456,368",100%
42,Doraemon the Movie: Nobita's Little Star Wars 2021,"$22,208,194",-,-,"$22,208,194",100%
43,Father Stu,"$21,586,351","$20,884,796",96.8%,"$701,555",3.2%
44,The Witch: Part 2. The Other One,"$21,430,151","$143,723",0.7%,"$21,286,428",99.3%
45,Turning Red,"$19,831,788",-,-,"$19,831,788",100%
46,Beast,"$18,911,959",-,-,"$18,911,959",100%
47,Bhool Bhulaiyaa 2,"$18,307,258",-,-,"$18,307,258",100%
48,Serial (Bad) Weddings 3,"$18,262,847",-,-,"$18,262,847",100%
49,Radhe Shyam,"$15,954,804","$1,860,000",11.7%,"$14,094,804",88.3%
50,Wunderschön,"$15,603,848",-,-,"$15,603,848",100%
51,Maison de retraite,"$15,438,018",-,-,"$15,438,018",100%
52,Blacklight,"$15,412,319","$9,591,094",62.2%,"$5,821,225",37.8%
53,Bheemla Nayak,"$15,243,922",-,-,"$15,243,922",100%
54,Operation Mincemeat,"$14,899,070",-,-,"$14,899,070",100%
55,Firestarter,"$14,889,250","$9,589,250",64.4%,"$5,300,000",35.6%
56,Super-héros malgré lui,"$14,771,200",-,-,"$14,771,200",100%
57,Crayon Shin-chan: Mononoke Ninja Chinpuden,"$14,609,977",-,-,"$14,609,977",100%
58,X,"$14,257,609","$11,765,309",82.5%,"$2,492,300",17.5%
59,Sarkaru Vaari Paata,"$14,199,018",-,-,"$14,199,018",100%
60,The Duke,"$14,193,189","$1,520,977",10.7%,"$12,672,212",89.3%
61,The Quintessential Quintuplets Movie,"$14,045,207",-,-,"$14,045,207",100%
62,Broker,"$13,530,439",-,-,"$13,530,439",100%
63,Valimai,"$13,276,393",-,-,"$13,276,393",100%
64,Bergen,"$12,798,854",-,-,"$12,798,854",100%
65,Dragon Ball Super: Super Hero,"$12,121,600",-,-,"$12,121,600",100%
66,Memory,"$12,061,544","$7,329,043",60.8%,"$4,732,501",39.2%
67,Jug Jugg Jeeyo,"$11,122,141","$1,033,000",9.3%,"$10,089,141",90.7%
68,The Pirates: The Last Royal Treasure,"$10,258,331",-,-,"$10,258,331",100%
69,Vaillante,"$10,143,170",-,-,"$10,143,170",100%
70,Men,"$10,061,930","$7,587,853",75.4%,"$2,474,077",24.6%
71,Rise,"$9,884,208",-,-,"$9,884,208",100%
72,Talk to Her Undated France Release,"$9,541,068",-,-,"$9,541,068",100%
73,Redeeming Love,"$9,464,198","$9,214,020",97.4%,"$250,178",2.6%
74,Smack Dab Kakha,"$8,992,930",-,-,"$8,992,930",100%
75,Chickenhare and the Hamster of Darkness,"$8,850,252",-,-,"$8,850,252",100%
76,Samrat Prithviraj,"$8,568,339",-,-,"$8,568,339",100%
77,Don,"$8,287,406",-,-,"$8,287,406",100%
78,Finnick,"$8,125,942",-,-,"$8,125,942",100%
79,Acharya,"$8,048,175","$832,000",10.3%,"$7,216,175",89.7%
80,Chempion mira,"$7,718,753",-,-,"$7,718,753",100%
81,777 Charlie,"$7,523,995",-,-,"$7,523,995",100%
82,Bachchhan Paandey,"$7,387,882",-,-,"$7,387,882",100%
83,Lesson in Murder,"$7,348,964",-,-,"$7,348,964",100%
84,Osomatsusan the Movie 2022 Re-release,"$7,297,522",-,-,"$7,297,522",100%
85,Mobile Suit Gundam: Cucuruz Doan's Island,"$6,998,742",-,-,"$6,998,742",100%
86,Rabbit Academy,"$6,690,002",-,-,"$6,690,002",100%
87,Cyrano,"$6,390,409","$3,873,124",60.6%,"$2,517,285",39.4%
88,Adieu Monsieur Haffmann,"$6,347,266",-,-,"$6,347,266",100%
89,Kingmaker,"$6,049,522",-,-,"$6,049,522",100%
90,Notre Dame on Fire,"$6,027,925",-,-,"$6,027,925",100%
91,The Policeman's Lineage,"$5,869,939",-,-,"$5,869,939",100%
92,Radiation House,"$5,793,450",-,-,"$5,793,450",100%
93,Bheeshma Parvam,"$5,779,651",-,-,"$5,779,651",100%
94,Goliath,"$5,770,632",-,-,"$5,770,632",100%
95,Artek: Bolshoe puteshestvie,"$5,580,855",-,-,"$5,580,855",100%
96,The Exorcism of God,"$5,333,869",-,-,"$5,333,869",100%
97,The Wandering Moon,"$5,262,479",-,-,"$5,262,479",100%
98,Les Segpa,"$5,229,993",-,-,"$5,229,993",100%
99,The Cherry Bushido,"$5,122,729","$17,586",0.3%,"$5,105,143",99.7%
100,Major,"$4,961,424",-,-,"$4,961,424",100%
101,Maigret,"$4,932,672",-,-,"$4,932,672",100%
102,Y cómo es él?,"$4,625,869","$1,500,636",32.4%,"$3,125,233",67.6%
103,The Cursed,"$4,588,389","$4,588,389",100%,-,-
104,Waiting for Bojangles,"$4,538,023",-,-,"$4,538,023",100%
105,Kaathu Vaakula Rendu Kadhal,"$4,474,859",-,-,"$4,474,859",100%
106,Vysehrad: Fylm,"$4,359,656",-,-,"$4,359,656",100%
107,Decision to Leave,"$4,320,037",-,-,"$4,320,037",100%
108,Permis de construire,"$4,298,296",-,-,"$4,298,296",100%
109,Pawankhind,"$4,260,686",-,-,"$4,260,686",100%
